PL_NAME,SPEC_TYPE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
HAT-P-12 b,Transmission,Mallonn et al. 2015,1,StanCam,Nordic Optical Telescope,0.429,0.429,,,
HAT-P-12 b,Transmission,Mallonn et al. 2015,2,WiFSIP,STELLA Robotic Observatory,0.5477,0.7698,,,
HAT-P-12 b,Transmission,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,
HAT-P-12 b,Transmission,Sing et al. 2016,17,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.38,0.965,,,
HAT-P-12 b,Transmission,Sing et al. 2016,12,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6424,,,
HAT-P-12 b,Transmission,Yan et al. 2020,17,MODS1,Large Binocular Telescope Observatory,0.395,0.945,,,
HAT-P-12 b,Transmission,Yan et al. 2020,13,MODS2,Large Binocular Telescope Observatory,0.395,0.7367,,,
HAT-P-12 b,Transmission,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,,,
HAT-P-12 b,Transmission,Wong et al. 2020,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,
HAT-P-12 b,Transmission,Wong et al. 2020,4,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.374,0.54,,,STIS G430L
HAT-P-12 b,Transmission,Wong et al. 2020,12,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.55,0.992,,,STIS G750L
HAT-P-12 b,Transmission,Wong et al. 2020,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.11,1.65,,,WFC3 G141
HAT-P-13 b,Emission,Buhler et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1
HAT-P-13 b,Emission,Hardy et al. 2017,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3
HAT-P-14 b,Transmission,Fukui et al. 2016,1,AFOSC,Asiago Observatory's Copernico Telescope,0.648,0.648,,,
HAT-P-14 b,Transmission,Fukui et al. 2016,1,Keplercam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,0.773,0.773,,,
HAT-P-14 b,Transmission,Fukui et al. 2016,3,MuSCAT,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,0.479,0.869,,,
HAT-P-14 b,Transmission,Fukui et al. 2016,1,RISE,Liverpool 2 meter telesope at Observatorio del Roque de los Muchachos,0.616,0.616,,,
HAT-P-14 b,Transmission,Fukui et al. 2016,1,Spectral camera,Faulkes Telescope North,0.87,0.87,,,
HAT-P-16 b,Transmission,Pearson et al. 2014,1,Mont4k CCD,Steward Observatory's 1.5 meter Kuiper Telescope,0.36,0.36,2456290.6578,2456290.6578,
HAT-P-18 b,Transmission,Kirk et al. 2017,17,ACAM,Isaac Newton Group's William Herschel Telescope,0.4874,0.9124,,,
HAT-P-18 b,Transmission,Fu et al. 2022,1021,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6078,2.8266,2459743.8534,2459743.8534,
HAT-P-18 b,Transmission,Jiang et al. 2023,26,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.78,,,
HAT-P-19 b,Emission,Kammer et al. 2015,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3
HAT-P-19 b,Transmission,Mallonn et al. 2015,57,WiFSIP,STELLA Robotic Observatory,0.5641,0.7642,,,
HAT-P-19 b,Transmission,Kang et al. 2024,4,MuSCAT2,"1.52 m Telescopio Carlos Sanchez, Teide Observatory",0.475,0.87,,,Table 3
